,instance_name,batch_duration,simulation_time,max_requests,initial_fleet,max_capacity,customer_segmentation,serviced_seats,picking_up_seats,rebalancing_seats,parked_seats,serviced,denied,max_hired,occupancy,o1,o2,o3,o4,v1,v2,v3,v4,mean_hired,median_hired,avg_seats,max_seats,id_max_seats,median_seats,mean_active,total_requests,avg_pk_delay,avg_ride_delay,total_runtime,avg_runtime,distance_cruising,distance_loaded,distance_rebalancing,distance_total,MET_A,MET_B,MET_C,MET_TOTAL,UNMET_A,UNMET_B,UNMET_C,UNMET_TOTAL,rebalance,clear_target_list_every_round,reinsert_targets,allow_urgent_relocation
IN-WEEKDENY_BA-30_ST-604800_MR-1000_IF-1000_MC-4_CS-AA,WEEKDENY,30,604800,1000,1000,4,AA,17.64%,2.67%,0.00%,79.69%,48.04%,51.96%,-4000.0,17.64%,30.92%,29.15%,21.89%,18.04%,nan%,nan%,nan%,nan%,-4000.00,-4000.0,0.00,0.0,2011-02-01 00:00:30,0.0,-3694.0796757611706,1585072.0,194.21,319.19,58.44,0.17,7.92%,92.08%,0.00%,1680071.0,135.5040478201093,194.38469189364346,340.9965423795866,761545,791407,31372,748,823527,,,,
IN-WEEKDENY_BA-30_ST-604800_MR-1000_IF-1000_MC-4_CS-AA_RE_CT_RT_UR,WEEKDENY,30,604800,1000,1000,4,AA,29.90%,9.20%,7.64%,53.27%,89.32%,10.68%,-4000.0,29.90%,59.31%,24.69%,10.40%,5.59%,nan%,nan%,nan%,nan%,-4000.00,-4000.0,0.00,0.0,2011-02-01 00:00:30,0.0,-3300.638210578349,1585072.0,135.52,196.29,18.99,0.06,13.81%,77.90%,8.29%,4544799.0,123.2393028737694,158.93923615220152,206.58457371096014,1415827,169118,127,0,169245,True,True,True,True
IN-WEEKDENY_BA-30_ST-604800_MR-1000_IF-1000_MC-4_CS-BB,WEEKDENY,30,604800,1000,1000,4,BB,17.02%,1.01%,0.00%,81.97%,42.53%,57.47%,-4000.0,17.02%,16.12%,21.81%,28.75%,33.32%,nan%,nan%,nan%,nan%,-4000.00,-4000.0,0.00,0.0,2011-02-01 00:00:30,0.0,-3758.2666831316374,1585072.0,225.85,386.01,71.45,0.21,3.92%,96.08%,0.00%,1273311.0,126.48452344468281,195.67688644609277,412.269940652819,674112,230796,662558,17606,910960,,,,
IN-WEEKDENY_BA-30_ST-604800_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_RT_UR,WEEKDENY,30,604800,1000,1000,4,BB,33.83%,7.99%,8.83%,49.34%,97.18%,2.82%,-4000.0,33.83%,53.19%,23.88%,12.95%,9.99%,nan%,nan%,nan%,nan%,-4000.00,-4000.0,0.00,0.0,2011-02-01 00:00:30,0.0,-3300.9915958077913,1585072.0,112.21,169.40,19.55,0.06,13.14%,77.27%,9.59%,4580364.0,110.82006481741864,117.72431689647114,158.17111576324578,1540314,36626,8131,1,44758,True,True,True,True
IN-WEEKDENY_BA-30_ST-604800_MR-1000_IF-1000_MC-4_CS-CC,WEEKDENY,30,604800,1000,1000,4,CC,29.63%,2.25%,0.00%,68.12%,72.23%,27.77%,-4000.0,29.63%,19.85%,23.28%,26.34%,30.53%,nan%,nan%,nan%,nan%,-4000.00,-4000.0,0.00,0.0,2011-02-01 00:00:30,0.0,-3573.408587805119,1585072.0,255.70,407.33,105.99,0.31,4.89%,95.11%,0.00%,2269343.0,125.82219403211148,180.29903359631663,365.7152369586889,1144923,200778,128370,111001,440149,,,,
IN-WEEKDENY_BA-30_ST-604800_MR-1000_IF-1000_MC-4_CS-CC_RE_CT_RT_UR,WEEKDENY,30,604800,1000,1000,4,CC,34.66%,8.20%,8.37%,48.78%,97.67%,2.33%,-4000.0,34.66%,52.28%,23.65%,13.16%,10.91%,nan%,nan%,nan%,nan%,-4000.00,-4000.0,0.00,0.0,2011-02-01 00:00:30,0.0,-3298.3331520664424,1585072.0,119.56,181.85,37.06,0.11,12.96%,77.91%,9.13%,4560277.0,111.09987763215955,125.34360679557393,143.30730435589368,1548195,33582,3122,173,36877,True,True,True,True
