,A_count,A_dp,A_pk,A_unmet_slevels,B_count,B_dp,B_pk,B_unmet_slevels,C_count,C_dp,C_pk,C_unmet_slevels,V1,V2,V3,V4,avg_pk_delay,avg_ride_delay,denied,distance_cruising,distance_loaded,distance_rebalancing,distance_total,seats_V1,seats_V2,seats_V3,seats_V4,serviced,total_requests,total_runtime,total_seats
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-A_RE_CT_RT,168933.0,125.4,125.4,43291.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,95.43,95.43,20.40%,16.77%,73.21%,10.01%,634380.0,0.0,0.0,0.0,4000.0,79.60%,212224.0,3.31,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-A_RE_CT_RT_UR,168902.0,125.92,125.92,43322.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,96.50,96.50,20.41%,16.69%,73.30%,10.01%,634199.0,0.0,0.0,0.0,4000.0,79.59%,212224.0,3.94,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-A_RE_CT_UR,169049.0,125.9,125.9,43175.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,95.94,95.94,20.34%,16.60%,73.54%,9.86%,632629.0,0.0,0.0,0.0,4000.0,79.66%,212224.0,3.11,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-A_RE_MO,152658.0,128.52,128.52,59566.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,105.51,105.51,28.07%,14.24%,82.01%,3.75%,507531.0,0.0,0.0,0.0,4000.0,71.93%,212224.0,3.03,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-A_RE_MO_RT,167750.0,128.61,128.61,44474.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,108.12,108.12,20.96%,14.75%,65.32%,19.93%,706339.0,0.0,0.0,0.0,4000.0,79.04%,212224.0,3.39,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-A_RE_MO_RT_UR,167719.0,128.38,128.38,44505.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,108.76,108.76,20.97%,14.44%,63.92%,21.64%,720731.0,0.0,0.0,0.0,4000.0,79.03%,212224.0,3.49,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-A_RE_MO_UR,151525.0,129.44,129.44,60699.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,106.82,106.82,28.60%,14.26%,82.11%,3.63%,502434.0,0.0,0.0,0.0,4000.0,71.40%,212224.0,3.08,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-A_RE_RT,168352.0,125.61,125.61,43872.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,115.66,115.66,20.67%,5.31%,22.80%,71.89%,2032080.0,0.0,0.0,0.0,4000.0,79.33%,212224.0,5.86,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-A_RE_RT_UR,168704.0,125.98,125.98,43520.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,115.89,115.89,20.51%,5.48%,23.59%,70.93%,1969004.0,0.0,0.0,0.0,4000.0,79.49%,212224.0,6.79,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-A_RE_UR,168698.0,125.63,125.63,43526.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,115.00,115.00,20.51%,5.69%,24.79%,69.51%,1871304.0,0.0,0.0,0.0,4000.0,79.49%,212224.0,6.59,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE,31631.0,109.48,109.48,2361.0,144154.0,170.25,106.76,143.0,33935.0,204.74,132.84,0.0,0.0,0.0,0.0,1000.0,95.73,135.49,1.18%,7.39%,39.23%,53.38%,1218377.0,0.0,0.0,0.0,4000.0,98.82%,212224.0,5.29,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT,31677.0,109.01,109.01,2329.0,144164.0,169.39,106.03,135.0,33919.0,204.79,132.61,0.0,0.0,0.0,0.0,1000.0,82.01,108.98,1.16%,13.96%,75.96%,10.08%,630660.0,0.0,0.0,0.0,4000.0,98.84%,212224.0,4.24,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_MO,28761.0,112.76,112.76,5207.0,143688.0,198.92,118.61,594.0,33974.0,250.32,158.97,0.0,0.0,0.0,0.0,1000.0,94.68,127.72,2.73%,10.97%,85.47%,3.56%,530606.0,0.0,0.0,0.0,4000.0,97.27%,212224.0,3.58,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_MO_RT,29755.0,112.54,112.54,4208.0,143962.0,192.4,115.72,329.0,33970.0,239.38,151.76,0.0,0.0,0.0,0.0,1000.0,93.69,125.55,2.14%,11.45%,84.58%,3.97%,543811.0,0.0,0.0,0.0,4000.0,97.86%,212224.0,3.79,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_MO_RT_UR,29285.0,112.84,112.84,4692.0,143923.0,194.72,116.78,388.0,33936.0,246.25,156.41,0.0,0.0,0.0,0.0,1000.0,94.34,127.10,2.39%,11.26%,84.91%,3.83%,538666.0,0.0,0.0,0.0,4000.0,97.61%,212224.0,3.60,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_MO_UR,28668.0,113.02,113.02,5255.0,143741.0,199.02,118.75,577.0,33983.0,249.5,159.4,0.0,0.0,0.0,0.0,1000.0,95.28,127.94,2.75%,10.97%,85.51%,3.52%,530771.0,0.0,0.0,0.0,4000.0,97.25%,212224.0,3.40,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_RT,31539.0,109.25,109.25,2365.0,144235.0,170.41,106.62,149.0,33936.0,204.63,133.32,0.0,0.0,0.0,0.0,1000.0,82.06,109.23,1.18%,14.06%,75.82%,10.12%,631346.0,0.0,0.0,0.0,4000.0,98.82%,212224.0,3.53,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_RT_UR,31585.0,109.36,109.36,2382.0,144182.0,170.11,106.68,138.0,33937.0,205.95,132.96,0.0,0.0,0.0,0.0,1000.0,82.29,109.53,1.19%,14.13%,75.65%,10.22%,631932.0,0.0,0.0,0.0,4000.0,98.81%,212224.0,3.73,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_UR,31523.0,109.14,109.14,2386.0,144235.0,170.73,106.86,131.0,33949.0,205.06,133.37,0.0,0.0,0.0,0.0,1000.0,82.41,109.53,1.19%,14.02%,75.88%,10.10%,630559.0,0.0,0.0,0.0,4000.0,98.81%,212224.0,4.45,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_MO,28713.0,112.79,112.79,5274.0,143756.0,199.24,119.32,557.0,33924.0,254.16,160.37,0.0,0.0,0.0,0.0,1000.0,95.39,128.31,2.75%,11.01%,85.51%,3.48%,531001.0,0.0,0.0,0.0,4000.0,97.25%,212224.0,3.45,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_MO_RT,30589.0,110.8,110.8,3396.0,143993.0,182.75,111.83,265.0,33981.0,225.24,144.38,0.0,0.0,0.0,0.0,1000.0,92.38,122.56,1.73%,12.19%,83.23%,4.58%,560880.0,0.0,0.0,0.0,4000.0,98.27%,212224.0,3.51,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_MO_RT_UR,29262.0,112.86,112.86,4713.0,143820.0,195.93,117.23,476.0,33953.0,246.71,156.86,0.0,0.0,0.0,0.0,1000.0,94.83,127.43,2.45%,11.63%,84.06%,4.32%,543331.0,0.0,0.0,0.0,4000.0,97.55%,212224.0,4.05,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_MO_UR,28784.0,112.66,112.66,5179.0,143730.0,198.11,118.54,569.0,33962.0,251.57,160.11,0.0,0.0,0.0,0.0,1000.0,94.37,126.78,2.71%,10.97%,85.42%,3.61%,532700.0,0.0,0.0,0.0,4000.0,97.29%,212224.0,3.42,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_RT,31644.0,109.74,109.74,2370.0,144135.0,170.77,106.78,150.0,33925.0,205.63,133.39,0.0,0.0,0.0,0.0,1000.0,96.11,136.61,1.19%,7.22%,38.05%,54.73%,1256614.0,0.0,0.0,0.0,4000.0,98.81%,212224.0,5.18,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_RT_UR,31584.0,110.3,110.3,2323.0,144211.0,170.95,107.16,144.0,33962.0,205.92,134.14,0.0,0.0,0.0,0.0,1000.0,96.89,137.62,1.16%,7.00%,37.08%,55.91%,1286938.0,0.0,0.0,0.0,4000.0,98.84%,212224.0,5.05,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_UR,31588.0,109.95,109.95,2303.0,144229.0,170.46,106.94,141.0,33963.0,205.21,132.97,0.0,0.0,0.0,0.0,1000.0,95.95,135.96,1.15%,7.47%,39.52%,53.01%,1209804.0,0.0,0.0,0.0,4000.0,98.85%,212224.0,4.90,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-B_RE,0.0,,,0.0,211723.0,160.06,106.58,501.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,90.30,127.83,0.24%,7.60%,40.29%,52.11%,1183044.0,0.0,0.0,0.0,4000.0,99.76%,212224.0,4.75,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-B_RE_CT,0.0,,,0.0,211707.0,159.56,106.17,517.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,77.60,102.91,0.24%,13.86%,75.36%,10.78%,633421.0,0.0,0.0,0.0,4000.0,99.76%,212224.0,3.37,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-B_RE_CT_MO,0.0,,,0.0,204803.0,198.53,123.56,7421.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,91.01,123.34,3.50%,10.06%,86.23%,3.71%,512509.0,0.0,0.0,0.0,4000.0,96.50%,212224.0,3.80,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-B_RE_CT_MO_RT,0.0,,,0.0,205797.0,199.17,123.92,6427.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,90.35,122.61,3.03%,10.25%,85.75%,4.00%,518600.0,0.0,0.0,0.0,4000.0,96.97%,212224.0,3.88,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-B_RE_CT_MO_RT_UR,0.0,,,0.0,205241.0,198.69,123.82,6983.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,91.10,123.44,3.29%,10.20%,85.90%,3.90%,516249.0,0.0,0.0,0.0,4000.0,96.71%,212224.0,3.65,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-B_RE_CT_MO_UR,0.0,,,0.0,205060.0,199.1,123.63,7164.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,90.32,122.69,3.38%,9.96%,86.33%,3.71%,511634.0,0.0,0.0,0.0,4000.0,96.62%,212224.0,3.26,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-B_RE_CT_RT,0.0,,,0.0,211712.0,159.11,105.9,512.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,77.27,102.40,0.24%,14.00%,75.17%,10.83%,634795.0,0.0,0.0,0.0,4000.0,99.76%,212224.0,3.22,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-B_RE_CT_RT_UR,0.0,,,0.0,211719.0,159.5,106.0,505.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,77.17,102.28,0.24%,14.00%,75.14%,10.86%,634990.0,0.0,0.0,0.0,4000.0,99.76%,212224.0,2.85,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-B_RE_CT_UR,0.0,,,0.0,211698.0,160.03,106.33,526.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,77.36,102.57,0.25%,13.90%,75.35%,10.75%,633570.0,0.0,0.0,0.0,4000.0,99.75%,212224.0,3.84,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-B_RE_MO,0.0,,,0.0,204812.0,198.28,123.57,7412.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,90.58,122.69,3.49%,10.02%,86.16%,3.82%,513172.0,0.0,0.0,0.0,4000.0,96.51%,212224.0,4.80,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-B_RE_MO_RT,0.0,,,0.0,205549.0,198.93,123.68,6675.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,89.85,121.81,3.15%,10.20%,85.71%,4.09%,518386.0,0.0,0.0,0.0,4000.0,96.85%,212224.0,3.37,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-B_RE_MO_RT_UR,0.0,,,0.0,204670.0,198.92,123.67,7554.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,90.64,123.26,3.56%,10.10%,85.92%,3.97%,513126.0,0.0,0.0,0.0,4000.0,96.44%,212224.0,3.64,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-B_RE_MO_UR,0.0,,,0.0,204560.0,199.03,123.9,7664.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,90.66,122.78,3.61%,9.95%,86.34%,3.70%,510211.0,0.0,0.0,0.0,4000.0,96.39%,212224.0,4.31,4000.0
