,A_count,A_dp,A_pk,A_unmet_slevels,B_count,B_dp,B_pk,B_unmet_slevels,C_count,C_dp,C_pk,C_unmet_slevels,V1,V2,V3,V4,avg_pk_delay,avg_ride_delay,denied,distance_cruising,distance_loaded,distance_rebalancing,distance_total,seats_V1,seats_V2,seats_V3,seats_V4,serviced,total_requests,total_runtime,total_seats
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-CC_RE_MO_UR,31078.0,113.78,113.78,2871.0,33923.0,200.22,123.56,74.0,144276.0,218.23,130.32,2.0,0.0,0.0,0.0,1000.0,95.73,129.68,1.39%,11.34%,85.18%,3.48%,544034.0,0.0,0.0,0.0,4000.0,98.61%,212224.0,3.37,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-CC_RE_RT,32252.0,110.14,110.14,1682.0,33945.0,179.44,114.79,35.0,144308.0,190.22,117.27,2.0,0.0,0.0,0.0,1000.0,98.59,142.06,0.81%,7.10%,38.24%,54.66%,1254942.0,0.0,0.0,0.0,4000.0,99.19%,212224.0,5.27,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-CC_RE_RT_UR,32274.0,110.67,110.67,1650.0,33934.0,179.73,114.7,33.0,144332.0,189.55,116.87,1.0,0.0,0.0,0.0,1000.0,98.95,142.75,0.79%,6.92%,37.56%,55.53%,1276791.0,0.0,0.0,0.0,4000.0,99.21%,212224.0,5.16,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-CC_RE_UR,32339.0,110.44,110.44,1638.0,33919.0,179.12,114.82,30.0,144297.0,189.2,116.98,1.0,0.0,0.0,0.0,1000.0,97.94,140.41,0.79%,7.39%,39.88%,52.72%,1202398.0,0.0,0.0,0.0,4000.0,99.21%,212224.0,5.82,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-C_RE,0.0,,,0.0,0.0,,,0.0,212223.0,159.56,107.18,1.0,0.0,0.0,0.0,1000.0,90.85,127.59,0.00%,7.89%,41.17%,50.94%,1156131.0,0.0,0.0,0.0,4000.0,100.00%,212224.0,5.43,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-C_RE_CT,0.0,,,0.0,0.0,,,0.0,212223.0,159.08,106.67,1.0,0.0,0.0,0.0,1000.0,77.67,102.61,0.00%,14.04%,75.58%,10.38%,630745.0,0.0,0.0,0.0,4000.0,100.00%,212224.0,4.13,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-C_RE_CT_MO,0.0,,,0.0,0.0,,,0.0,212223.0,192.84,123.98,1.0,0.0,0.0,0.0,1000.0,91.31,122.46,0.00%,11.04%,85.42%,3.54%,538371.0,0.0,0.0,0.0,4000.0,100.00%,212224.0,3.37,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-C_RE_CT_MO_RT,0.0,,,0.0,0.0,,,0.0,212224.0,190.78,122.82,0.0,0.0,0.0,0.0,1000.0,90.40,120.94,0.00%,11.16%,85.05%,3.79%,540549.0,0.0,0.0,0.0,4000.0,100.00%,212224.0,3.11,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-C_RE_CT_MO_RT_UR,0.0,,,0.0,0.0,,,0.0,212223.0,191.19,123.07,1.0,0.0,0.0,0.0,1000.0,90.92,121.62,0.00%,11.14%,85.22%,3.64%,538995.0,0.0,0.0,0.0,4000.0,100.00%,212224.0,3.09,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-C_RE_CT_MO_UR,0.0,,,0.0,0.0,,,0.0,212223.0,191.94,123.39,1.0,0.0,0.0,0.0,1000.0,90.72,121.41,0.00%,11.08%,85.44%,3.48%,538109.0,0.0,0.0,0.0,4000.0,100.00%,212224.0,3.23,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-C_RE_CT_RT,0.0,,,0.0,0.0,,,0.0,212223.0,158.56,106.62,1.0,0.0,0.0,0.0,1000.0,77.69,102.41,0.00%,14.17%,75.41%,10.41%,631621.0,0.0,0.0,0.0,4000.0,100.00%,212224.0,3.53,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-C_RE_CT_RT_UR,0.0,,,0.0,0.0,,,0.0,212223.0,159.06,106.64,1.0,0.0,0.0,0.0,1000.0,77.83,102.81,0.00%,14.12%,75.45%,10.43%,631817.0,0.0,0.0,0.0,4000.0,100.00%,212224.0,3.49,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-C_RE_CT_UR,0.0,,,0.0,0.0,,,0.0,212223.0,159.43,106.86,1.0,0.0,0.0,0.0,1000.0,77.66,102.63,0.00%,14.05%,75.61%,10.34%,630668.0,0.0,0.0,0.0,4000.0,100.00%,212224.0,3.71,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-C_RE_MO,0.0,,,0.0,0.0,,,0.0,212223.0,192.33,123.74,1.0,0.0,0.0,0.0,1000.0,90.67,121.72,0.00%,11.02%,85.38%,3.60%,538451.0,0.0,0.0,0.0,4000.0,100.00%,212224.0,3.54,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-C_RE_MO_RT,0.0,,,0.0,0.0,,,0.0,212223.0,191.5,123.32,1.0,0.0,0.0,0.0,1000.0,90.26,120.70,0.00%,11.13%,85.19%,3.68%,539824.0,0.0,0.0,0.0,4000.0,100.00%,212224.0,3.13,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-C_RE_MO_RT_UR,0.0,,,0.0,0.0,,,0.0,212223.0,192.39,123.78,1.0,0.0,0.0,0.0,1000.0,91.27,122.60,0.00%,11.15%,85.22%,3.63%,539551.0,0.0,0.0,0.0,4000.0,100.00%,212224.0,3.08,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-C_RE_MO_UR,0.0,,,0.0,0.0,,,0.0,212222.0,192.5,123.91,2.0,0.0,0.0,0.0,1000.0,91.48,122.81,0.00%,11.11%,85.43%,3.45%,537025.0,0.0,0.0,0.0,4000.0,100.00%,212224.0,3.43,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-C_RE_RT,0.0,,,0.0,0.0,,,0.0,212223.0,159.49,107.02,1.0,0.0,0.0,0.0,1000.0,91.34,128.76,0.00%,7.64%,39.91%,52.46%,1192742.0,0.0,0.0,0.0,4000.0,100.00%,212224.0,4.41,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-C_RE_RT_UR,0.0,,,0.0,0.0,,,0.0,212223.0,160.03,107.38,1.0,0.0,0.0,0.0,1000.0,91.02,128.26,0.00%,7.65%,40.16%,52.18%,1185638.0,0.0,0.0,0.0,4000.0,100.00%,212224.0,4.49,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-C_RE_UR,0.0,,,0.0,0.0,,,0.0,212223.0,159.7,107.19,1.0,0.0,0.0,0.0,1000.0,90.48,127.33,0.00%,7.76%,40.79%,51.45%,1166991.0,0.0,0.0,0.0,4000.0,100.00%,212224.0,4.93,4000.0
